"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","B001_01","B001_02","B001_03","B001_04","B001_05","B001_06","B001_07","B001_08","B001_09","B001_10","B001_11","B001_12","B001_13","B001_14","B001_15","B001_16","B001_17","B001_18","B001_19","B001_20","B001_21","B001_22","B001_23","B001_24","B001_25","B001_26","B001_27","B001_28","B001_29","B001_30","B001_31","B001_32","B001_33","B001_34","B001_35","B001_36","B001_37","B001_38","B001_39","B001_40","B001_41","B001_42","B002_01","B002_02","B002_03","B002_04","B002_05","B002_06","B002_07","B002_08","B002_09","B002_10","B002_11","B002_12","B002_13","B002_14","B002_15","B002_16","B003_01","DS02","EV01_01","EV02_01","EV03_01","EV04","EV04_01","EV04_02","EV04_03","EV04_04","EV05_01","H001_01","H001_02","H001_03","H001_04","H001_05","H001_06","H001_07","H001_08","H001_09","H001_10","H001_11","H001_12","H001_13","H001_14","H001_15","H001_16","H001_17","H001_18","H001_19","H001_20","H001_21","H001_22","H001_23","H001_24","H001_25","H001_26","H001_27","H001_28","H001_29","H001_30","H001_31","H001_32","H001_33","H001_34","H001_35","H001_36","H001_37","H001_38","H001_39","H001_40","H001_41","H001_42","H002_01","H002_02","H002_03","H002_04","H002_05","H002_06","H002_07","H002_08","H002_09","H002_10","H002_11","H002_12","H002_13","H002_14","H002_15","H002_16","H003_01","KE01_01","KE01_02","KE01_03","KE01_04","KE02_01","KE03","L001_01","L001_02","L001_03","L001_04","L001_05","L001_06","L001_07","L001_08","L001_09","L001_10","L001_11","L001_12","L001_13","L001_14","L001_15","L001_16","L001_17","L001_18","L001_19","L001_20","L001_21","L001_22","L001_23","L001_24","L001_25","L001_26","L001_27","L001_28","L001_29","L001_30","L001_31","L001_32","L001_33","L001_34","L001_35","L001_36","L001_37","L001_38","L001_39","L001_40","L001_41","L001_42","L002_01","L002_02","L002_03","L002_04","L002_05","L002_06","L002_07","L002_08","L002_09","L002_10","L002_11","L002_12","L002_13","L002_14","L002_15","L002_16","L003_01","RA01_CP","RA01","S006","S007","SB01","SB02","SD01","SD02_01","SD11","SD11_10","SD15_01","SD15_01a","SD17","SH01","SH02","SI01_01","SI01_02","SI01_03","SI01_04","SI01_05","SI01_06","SI01_07","SI01_08","SL01","SL02","SM01_01","SM01_02","SM01_03","SM01_04","SM01_05","SM01_06","SM01_07","SM01_08","SM01_09","SM01_10","SM01_11","SM01_12","SM01_13","SM01_14","SW01","SW02","VP03_01","W001_01","W001_02","W001_03","W001_04","W001_05","W001_06","W001_07","W001_08","W001_09","W001_10","W001_11","W001_12","W001_13","W001_14","W001_15","W001_16","W001_17","W001_18","W001_19","W001_20","W001_21","W001_22","W001_23","W001_24","W001_25","W001_26","W001_27","W001_28","W001_29","W001_30","W001_31","W001_32","W001_33","W001_34","W001_35","W001_36","W001_37","W001_38","W001_39","W001_40","W001_41","W001_42","W002_01","W002_02","W002_03","W002_04","W002_05","W002_06","W002_07","W002_08","W002_09","W002_10","W002_11","W002_12","W002_13","W002_14","W002_15","W002_16","W003_01","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
564,,,"base","interview",2025-07-18 15:51:34,2,4,2,1,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,1,1,3,3,3,3,3,1,3,3,4,2,1,3,2,2,2,1,3,1,4,3,2,1,2,2,1,3,3,4,3,2,4,1,"Traurigkeit aber auch ein Funke Hoffnung",1,,"Eine Vorstellung nicht, höchstens eine Vermutung. Evtl. wird so ""gestestet"" wie Menschen mit verschiedenen psychischen Problemen - oder mit kaum psychischen Problemen - auf die verschiedenen Arten von Kunstwerken reagieren, wie sie sich fühlen, was ihnen im Kopf rumschwirrt usw., um damit zu testen, wie deren psychischer Zustand ist?","Auf der Gefühlsskala und Angstskala war mir nicht genau ersichtlich, wo man sich ""sehr"" oder ""wenig"" aufgeregt fühlt. ",0,1,1,1,1,,1,1,1,1,1,1,1,2,2,1,1,5,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,1,2,1,3,2,4,3,5,3,1,1,3,1,1,3,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,"Gleichgültigkeit ",1,1,2,3,,2,1,1,1,1,1,1,1,1,1,1,5,5,2,1,1,3,1,1,4,1,1,4,1,1,1,1,1,1,4,1,3,1,4,2,5,1,3,2,1,1,1,4,3,1,2,2,1,1,1,1,1,2,1,2,1,1,3,1,"Ungläubigkeit",8,6,7,5,2,3,1,25,6,,"Medizinische Fachangestellte",1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,"mLx0HreidA",2,3,3,2,4,2,4,3,2,3,4,2,4,3,3,3,2,3,2,3,2,2,2,3,1,2,1,3,4,2,3,2,2,4,3,3,1,4,3,4,2,1,4,2,4,3,3,1,1,1,1,3,4,4,5,2,4,1,"Interesse und Neugier",75,17,57,41,5,82,,120,59,53,134,35,,105,76,41,38,119,21,48,,63,36,48,101,3,,67,86,67,50,90,10,46,56,50,71,322,19,11,1911,,2025-07-18 16:30:17,,1,0,40,40,1,0,0.72
570,,,"base","interview",2025-07-18 18:26:51,3,3,3,2,2,2,4,3,3,3,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,1,4,3,3,2,2,2,2,3,2,3,3,3,2,1,3,2,3,2,3,2,3,1,1,2,3,5,4,3,3,1,"Leicht negative Vibes",1,"Bild 2 hat in mir die positivsten Gefühle ausgelöst und mich ein wenig entspannt, weil es sich wie eine andere Welt angefühlt hat ","Den Effekt von Kunst auf den psychischen Zustand erfassen unter der Mediatorvaraible, ob psychische Erkrankungen vorliegen","Ne",0,1,1,1,1,,4,3,3,3,4,4,2,4,4,2,2,1,4,3,1,4,1,3,1,3,3,3,1,1,1,1,1,1,3,1,4,3,1,4,1,3,1,4,4,1,4,3,4,3,3,4,4,3,2,3,3,3,4,5,5,4,3,3,"Ruhe",4,2,2,4,,2,1,3,1,1,1,1,2,1,1,3,2,4,4,2,3,1,3,1,4,1,1,2,3,3,3,3,3,1,4,4,2,1,3,2,2,2,3,4,2,3,3,2,4,3,4,3,3,2,2,1,3,3,3,5,4,3,3,1,"Verwirrt",8,4,6,6,6,5,1,22,7,,,-1,2,7,5,2,2,1,1,1,1,1,1,6,5,1,1,2,1,1,2,1,3,3,1,2,1,1,1,6,5,"ogVqsrEXxZ",4,4,4,3,3,4,2,2,2,4,2,1,3,2,1,4,1,2,1,3,2,3,1,1,1,2,1,1,3,2,2,3,1,3,1,3,1,4,4,2,3,3,4,3,3,4,4,3,2,1,1,2,3,5,5,3,3,3,"Freude",12,5,16,24,2,82,,60,65,45,109,4,,117,49,40,64,94,8,,100,41,55,58,100,6,69,,83,44,47,90,6,39,93,146,104,59,34,9,1855,,2025-07-18 18:59:50,,1,0,40,40,1,0,0.95
576,,,"base","interview",2025-07-18 20:22:59,4,1,4,1,1,4,2,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,5,1,1,5,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,4,1,5,4,1,1,1,1,3,2,2,2,1,1,1,1,"stimmt mich nachdenklich",1,"Das Bild 4 hat mir am besten gefallen","Kein Plan",,0,1,1,1,1,,4,1,3,5,4,4,3,4,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,4,3,4,1,1,1,1,3,1,1,1,4,3,5,5,1,2,1,1,4,2,5,5,5,4,1,1,"ich fühle mich ruhig",2,1,5,5,,2,3,2,2,1,2,1,1,1,1,2,3,4,2,1,4,1,3,1,1,1,1,1,4,4,3,4,5,2,1,5,2,1,3,1,3,2,4,2,2,1,1,1,2,1,4,2,1,2,1,1,2,3,5,5,4,4,4,1,"ich fühle mich beklemmt",8,5,4,6,5,4,1,23,8,,,-1,2,6,5,2,1,1,1,1,1,1,1,4,7,4,1,4,1,2,1,1,1,4,1,5,1,1,1,6,4,"kCWtYSY2CB",4,5,4,2,4,3,5,2,1,5,4,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,1,5,1,2,5,1,1,1,5,4,1,1,1,5,5,5,2,5,1,1,1,1,5,5,5,5,1,4,1,"faszinierend",29,9,25,22,4,34,,24,28,20,43,6,,75,32,28,27,52,7,63,,51,38,31,70,14,,26,28,19,27,39,5,26,40,34,54,30,3,6,1069,,2025-07-18 20:40:48,,1,0,40,40,1,0,1.36
579,,,"base","interview",2025-07-19 09:04:30,4,4,4,2,4,4,5,4,4,4,4,2,4,5,4,3,2,3,1,1,2,1,3,3,2,4,4,3,3,4,2,2,2,3,1,3,3,4,3,4,2,1,5,5,5,5,5,5,3,3,4,5,5,5,5,4,5,5,"Trauer,melancholie, Verwirrung ",1,"Bild 1, 3 und 4","Zusammenhang von Biographie von KünstlerInnen und deren Kunst, Zusammenhänge von eigener psychischer Belastung und Gefallen von Kunst, ","Interessante Studie, viel Erfolg bei der Auswertung ",0,1,1,1,1,,3,1,2,2,3,2,2,2,1,1,1,3,1,1,1,2,4,1,2,1,1,3,1,2,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,1,1,1,1,2,3,2,2,2,1,3,2,"Keine besonderen Regungen, eher unbeeindruckt, nicht mein Stil",5,4,2,4,"Akustische Musik, Naturfotografie, Acrylmalerei, Gedichte ",1,4,4,4,2,5,4,4,3,4,4,3,2,3,3,1,3,3,3,2,3,2,3,3,3,2,2,4,4,4,4,3,2,3,3,2,3,4,4,3,2,3,3,5,5,5,5,5,4,2,3,4,5,5,4,5,4,3,5,"Unwohlsein",8,3,7,5,6,5,2,29,8,,"Psychologe",1,2,6,5,2,1,1,1,1,1,1,1,7,6,2,1,2,2,1,3,2,1,1,1,2,1,1,1,6,5,"iCDfQlVUL2",5,5,4,2,5,5,5,4,4,5,5,2,5,5,2,2,2,3,1,1,1,1,3,5,2,2,4,2,4,5,2,2,1,4,1,5,3,4,3,4,2,1,5,5,5,5,5,5,2,2,5,4,5,4,5,4,5,5,"Verwirrung",52,13,23,119,7,,25,34,26,26,60,9,19,,37,31,40,81,10,24,,40,48,46,96,23,,23,52,25,28,45,9,80,27,88,72,100,37,32,1403,,2025-07-19 09:29:38,,1,0,40,40,0,0,0.96
584,,,"base","interview",2025-07-19 10:53:44,3,3,2,1,2,3,4,2,2,2,5,3,3,2,2,3,3,2,2,2,2,2,2,4,1,1,3,1,5,5,3,2,2,3,2,3,3,4,1,2,2,2,4,4,5,4,4,5,2,3,3,4,4,4,5,4,3,1,"Beklemmung",1,"Bild 1 und 3 haben mich besonders angesprochen, weil sie eher figural sind und ich das Dargestellte intuitiver interpretieren konnte","Untersuchen, inwiefern man biografische Elemente des Künstlers in dessen Werke interpretiert",,0,1,1,1,1,,1,2,2,2,2,1,2,1,1,2,3,4,2,2,1,1,4,2,2,1,1,1,3,3,4,2,3,1,4,4,2,2,2,1,3,1,2,1,1,1,1,1,1,1,2,2,2,4,1,1,1,2,2,4,3,4,4,1,"Frust",4,3,2,4,,2,4,3,3,2,4,4,3,3,2,3,4,2,4,3,2,1,1,2,2,2,2,3,2,2,1,1,2,3,3,2,2,2,3,3,2,3,1,3,2,2,2,2,3,4,4,4,3,3,2,2,2,3,3,3,3,2,3,2,"Wiederstand",9,5,3,6,3,6,1,26,8,,,-1,2,3,7,3,2,2,1,1,2,1,2,3,6,4,3,4,2,1,2,3,2,4,2,4,1,4,1,3,5,"SPVe8LipCL",2,3,3,2,4,3,4,2,2,3,3,3,4,2,2,2,2,1,1,3,3,2,2,3,1,1,2,1,4,3,2,2,1,3,2,3,2,4,2,2,2,2,4,3,4,2,3,2,1,1,1,4,4,5,5,3,4,1,"Überforderung",47,8,153,229,3,47,,41,23,19,49,7,,21,27,48,149,74,18,62,,78,38,22,161,13,,32,32,21,19,121,12,26,168,40,62,69,18,13,1384,,2025-07-19 11:26:35,,1,0,40,40,1,0,1
585,,,"base","interview",2025-07-19 16:06:59,5,4,4,1,5,5,5,1,4,4,2,1,4,4,5,4,2,2,1,2,4,1,2,3,1,3,2,2,2,4,3,4,1,5,1,4,4,5,1,4,4,1,5,4,5,5,5,2,2,1,2,3,5,5,5,4,5,3,"interessiert an der Story dahinter",1,,"Nein","Nein",0,1,1,1,1,,2,3,2,2,4,3,3,2,4,3,4,4,4,3,4,2,2,2,4,2,3,2,2,2,2,1,2,1,4,5,2,2,3,2,3,1,1,4,1,1,2,1,3,3,4,2,2,2,3,3,2,1,3,2,3,3,5,1,"macht nicht so vile mit mir",5,4,2,4,"Malen acryl",1,4,4,4,1,5,5,5,2,3,4,4,1,4,4,4,4,1,2,1,2,2,5,1,2,2,2,2,3,4,2,5,3,1,5,1,4,1,4,3,4,1,5,5,4,5,5,5,2,4,1,2,4,5,4,4,4,4,2,"interessiert, schmunzelnd",9,3,4,8,4,8,1,21,7,,,-1,2,4,8,2,1,2,1,4,2,1,1,4,8,2,2,5,2,4,5,1,3,5,2,3,1,1,1,4,8,"2zNMoe2CQg",4,5,1,1,5,4,4,1,4,5,5,2,5,2,4,3,1,1,1,1,4,2,1,3,1,1,2,1,4,2,2,3,1,4,1,2,3,5,1,2,3,2,4,4,4,3,3,2,2,1,2,3,5,5,5,3,5,2,"gespannt",69,8,27,21,4,,28,40,34,39,66,10,54,,53,40,55,97,11,74,,84,69,84,105,6,,125,49,52,36,115,4,50,19,107,109,11,271,19,1708,,2025-07-19 16:41:04,,1,0,40,40,1,0,0.92
586,,,"base","interview",2025-07-19 21:47:28,2,4,2,1,4,2,4,3,4,4,5,4,2,3,1,4,3,2,1,1,1,1,2,4,3,2,4,1,4,2,1,3,2,4,4,1,2,3,1,2,1,1,1,2,4,1,3,1,1,1,1,2,2,4,5,1,3,1,"ich habe eine mischung aus angst und ehrfurcht gespürt",1,,"wie gewisse psychische Störungen die Sicht auf Kunstwerke veränderun und ob man sich in die Künstler durch die psychischen Erkrankungen mehr einfühlt",,0,1,1,1,1,,1,2,1,1,3,1,2,1,1,4,5,3,1,1,1,1,2,1,3,1,1,1,2,4,4,1,5,1,4,4,1,1,3,2,2,1,4,1,1,3,2,1,2,1,4,1,1,1,1,1,2,3,2,2,3,3,4,1,"beunruhigung grösstenteils",2,3,5,3,,2,3,5,4,1,4,4,4,2,4,3,4,2,4,4,1,2,1,3,2,3,2,4,1,4,1,4,1,3,4,1,2,3,3,4,3,1,2,4,3,5,2,4,4,4,5,4,4,2,1,1,4,4,4,4,3,4,3,4,"nuegier und ein bisschen belistigung",9,6,3,3,4,5,1,21,7,,,-1,2,2,4,1,2,1,1,1,1,1,1,7,3,2,1,1,1,1,3,4,2,2,3,1,1,2,1,5,6,"GIbBaQ0Qdu",3,5,4,1,4,4,5,3,4,4,4,2,4,4,1,5,2,1,1,1,3,2,1,5,3,1,1,1,4,2,2,2,2,4,2,2,1,4,2,1,4,3,4,4,4,3,4,1,1,1,1,3,4,4,4,3,5,2,"eine überforderung vor allem und auch tatendrang, sich alles detailluert anschauen zu wollen",17,21,17,18,1,26,,37,32,32,63,11,,19,24,24,31,45,10,30,,24,25,26,50,11,,18,29,33,33,62,11,23,10,24,42,48,12,12,951,,2025-07-19 22:03:20,,1,0,40,40,1,0,1.44
590,,,"base","interview",2025-07-20 17:45:22,5,4,5,5,5,5,5,5,5,4,4,1,5,4,4,4,1,4,1,5,1,1,1,1,1,4,1,4,5,1,4,4,1,4,1,5,1,5,5,4,3,1,4,4,5,5,5,5,3,3,2,3,3,5,5,1,1,1,"beruhigend da ich Blumen mag",1,"Bild 2 war am angenehmsten weil es die Stimmung erheitert hat, Bild 3 fand ich am interessantesten","Sinneseindrücke auf bestimmte Reize zu erkennen, ob verschiedene Kunstwerke Auswirkungen auf den Gemütszustand haben","Interessant wäre es noch weitere Informationen zum Künstler zu haben und eventuell mehr Bilder von ihm. Zu jedem Kunstwerk die Jahreszeit und was er genau in dieser Zeit erlebt hat um zu verstehen was er mit dem Kunstwerk aussagen wollte.",0,1,1,1,1,,4,3,4,4,4,4,4,4,5,1,4,1,3,3,1,5,1,3,1,3,1,1,1,1,1,1,1,1,4,1,3,4,1,4,1,3,1,4,4,1,5,1,5,4,5,5,4,4,1,1,4,4,4,5,5,4,1,1,"Stimmungsaufhellend",5,1,1,3,,2,3,3,2,2,3,2,3,1,1,1,4,4,2,1,4,1,1,1,1,3,1,3,2,3,1,4,1,1,5,4,3,1,5,2,3,1,1,1,1,1,1,1,5,4,5,4,4,4,1,1,4,5,4,5,5,1,3,1,"fühl mich interessiert für die Geschichte hinter dem Bild",9,4,4,6,6,5,1,35,4,,"Steuerfachangestellte",1,2,6,5,1,1,1,1,1,1,1,1,6,5,3,1,1,1,1,5,5,3,3,4,4,1,1,1,5,6,"A6afZVJDsg",1,4,1,1,1,1,3,1,1,3,3,3,1,1,3,3,3,1,4,1,1,1,5,5,1,1,5,1,5,5,3,1,5,3,4,1,5,1,1,1,1,1,1,1,5,3,1,1,1,1,1,3,4,5,5,3,4,1,"verwirrt, auf ersten Blick schwer zu verstehen was das Bild aussagen soll",87,18,43,42,25,17,,40,36,38,136,18,,17,57,56,41,87,11,,16,75,48,41,104,7,59,,123,109,47,127,22,43,84,58,90,247,91,40,1721,,2025-07-20 18:22:02,,1,0,40,40,1,0,0.72
595,,,"base","interview",2025-07-20 22:33:15,5,3,2,2,2,5,3,4,4,2,2,1,3,3,2,1,1,3,1,2,3,1,2,1,1,4,3,4,2,1,2,3,2,3,1,4,1,2,4,2,1,1,5,4,3,5,3,2,1,2,2,5,4,2,2,4,3,5,"abgelenkt von den stilistisch nucht zusammenpassenden elementen ",1,,"analysieren in wie fern Kunst unterschiedlich auf betrachtende wirken kann, vorallem im zusammenhang mit der Intension eines Künstlers. Und ob die derzeitige emotionale Situation des Betrachters dieses beeinflusst",,0,1,1,1,1,,5,1,3,1,1,5,3,3,5,2,1,1,1,3,1,1,1,4,1,1,3,2,1,3,1,1,3,3,5,4,1,5,1,3,1,4,1,5,4,2,3,2,3,5,3,5,4,1,3,5,1,2,4,2,2,4,5,3,"zuerst freude, bei längerem betrachten eine gewisse unruhe/schwindel",5,4,2,4,"Meist bunte, digiate 2D comic zeichnungen, ab und zu jedoch malerei mit Acryl oder Ölfarbe auf Leinwand, eher semi-realisische Landschaften und Portraits, jedoch auch mit viel bunter Farbe",1,4,1,4,4,2,4,1,1,2,1,1,2,4,2,4,1,1,1,4,3,1,2,1,1,2,4,1,5,1,4,3,1,3,2,1,4,2,2,3,1,1,1,2,4,3,4,2,1,1,2,4,2,2,4,2,2,4,3,"ich fühle dass ich von der Frau betrachtet/ bewertet werde",10,4,8,5,6,2,3,20,7,,,-1,2,7,6,4,3,1,1,2,3,2,1,6,3,2,4,4,5,3,5,4,3,2,2,3,1,1,1,5,3,"o8dx4j2Mcb",4,4,1,1,2,2,2,1,1,4,4,2,4,2,4,4,1,1,1,2,5,1,1,3,1,2,4,1,5,3,2,1,4,1,2,1,4,3,1,4,1,1,4,1,5,1,3,2,1,1,2,1,5,5,5,3,5,1,"verwirrt und leicht verstört",10,18,37,37,12,54,,66,60,54,136,20,,103,54,34,43,159,8,,91,85,64,66,211,11,61,,133,93,73,147,27,150,21,86,97,134,13,12,2124,,2025-07-20 23:14:35,,1,0,40,40,1,0,0.67
603,,,"base","interview",2025-07-21 14:40:05,5,3,3,4,5,5,5,3,2,4,4,1,4,3,4,3,1,2,1,3,1,1,1,1,1,2,1,4,4,3,3,3,2,4,1,4,1,5,2,3,2,2,4,4,4,5,5,2,1,3,2,5,5,4,5,2,1,4,"Melancholie",1,,,,0,1,1,1,1,,3,4,2,2,4,3,5,2,3,4,5,2,3,3,2,4,1,2,1,2,2,1,4,5,1,3,5,1,5,5,2,1,2,4,1,4,4,5,2,2,1,1,5,5,3,2,2,1,1,1,1,3,5,3,5,3,3,2,"Unruhe",3,2,1,5,"Bemalen von Figuren/Miniaturen",1,2,2,2,1,1,1,2,1,1,2,1,5,3,1,1,1,2,1,4,1,1,4,1,1,1,1,4,1,4,2,1,1,5,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,3,1,2,4,1,"Desinteresse",10,5,8,3,7,3,2,31,8,,"Systemingenieur/Informatik",1,2,7,4,2,1,1,1,2,1,1,1,6,2,4,4,5,5,5,4,4,4,3,2,2,3,4,1,7,4,"nWPyQYkLr7",4,5,3,3,4,4,4,4,3,4,5,2,4,4,2,4,2,3,1,3,2,1,2,4,1,1,4,1,5,4,2,2,1,5,1,4,4,5,3,3,2,4,5,4,4,4,4,2,2,2,4,3,5,4,5,4,5,1,"Verwirrung",9,12,58,25,11,37,,48,37,51,64,12,,23,26,33,38,52,3,37,,40,27,36,55,6,,57,40,33,27,46,4,44,15,43,50,8,19,11,1137,,2025-07-21 14:59:02,,1,0,40,40,1,1,1.27
604,,,"base","interview",2025-07-21 15:33:44,4,4,3,3,4,4,4,2,3,4,4,3,4,3,4,2,2,3,2,3,2,1,3,3,1,1,3,3,4,2,3,2,3,3,2,2,2,3,2,2,3,2,4,4,4,4,4,2,2,1,1,3,3,2,1,1,4,2,"interessiert, neugierig ",1,"nein","Es könnte über den Zusammenghang von Biographien und Wahrnehmung von Kunstwerken gehen ",,0,1,1,1,1,,3,3,3,1,4,3,3,1,1,2,1,1,3,2,1,2,2,1,4,1,1,1,2,3,1,1,3,1,2,1,1,1,5,1,1,1,1,2,1,1,1,2,3,1,1,2,2,2,2,1,1,4,4,4,2,1,1,1,"wenig",2,1,3,4,,2,2,4,3,2,4,1,4,1,1,4,3,3,4,1,2,1,2,2,1,1,1,3,1,3,1,1,1,1,4,4,2,1,4,1,1,1,2,3,1,1,2,2,4,3,3,2,4,2,2,1,1,4,3,4,4,1,3,1,"ich empfinde das Kunstwek ambivalent, die Stimmung als uneiendeitig",11,2,7,6,6,6,2,22,7,,"Werksstudent und HiWi",1,2,6,6,1,1,1,1,1,1,1,1,6,6,3,2,1,1,1,1,1,2,3,2,3,1,1,1,6,6,"ZDDWckZrst",1,4,2,1,3,1,3,1,1,1,4,3,2,1,1,1,1,1,3,2,1,4,1,1,1,1,1,1,5,3,2,2,4,3,4,1,4,3,2,2,1,1,3,2,4,1,1,3,1,1,1,1,3,4,3,1,3,1,"Ich fühle mich irriteirt, kann keinen stringenten Bezug dazu finden",20,9,3590,11,8,,27,36,20,23,40,6,26,,24,191,23,40,6,,46,26,29,23,71,4,40,,39,32,44,71,7,19,13,31,60,30,23,14,1002,,2025-07-21 16:52:26,,1,0,40,40,1,0,1.38
606,,,"base","interview",2025-07-21 16:49:17,1,1,1,1,2,1,1,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,3,1,1,2,5,1,1,5,1,1,3,2,1,1,5,2,1,1,1,1,5,2,4,1,2,4,1,1,1,3,4,4,4,2,3,1,"Beklemmung, wirkt depressiv/trist",1,"Bild 4 hat mich neugierig gemacht, da ich mich die Art der Nummerierung sowie die Gesamtsarstellung als Kreis bzw. mit der Schlange, verwirrt","Ermittlung des mentalen Gesundheitszustands von Personen und deren Beeinflussung durch äußere Faktoren wie künstlerischer Darstellung sowie Informationen über Kunsterschaffende.",,0,1,1,1,1,,2,1,3,1,1,2,4,1,1,2,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,2,3,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,4,3,3,2,1,1,1,"Belustigung",5,2,2,3,"Schreiben und Produzieren eigener Songs, Veröffentlichung in sozialen Netzwerken, Schreiben der Texte erfolgt mal digital, mal analog",1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,"Gleiichgültigkeit",11,1,7,4,5,5,1,24,7,,"Angestellte in der Lohnbuchhaltung",1,2,7,5,1,2,2,1,4,3,1,1,5,3,1,1,2,1,1,3,5,2,1,2,1,1,1,1,7,4,"xUqekLO5TB",2,5,1,1,4,2,4,1,1,5,4,1,4,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,5,2,1,1,1,3,1,1,2,4,1,1,1,1,4,2,5,1,4,1,2,1,1,1,5,5,5,2,3,1,"Verwirrung",3,11,44,38,4,,28,41,31,57,76,13,,30,55,27,26,63,17,26,,43,34,27,64,4,31,,86,17,32,112,11,440,99,57,109,106,42,24,1522,,2025-07-21 17:21:25,,1,0,40,40,1,0,0.99
